t (s),FA (mol/s),FB (mol/s),FC (mol/s),FP (mol/s),XA,θA,θB,θC,θP,θV
0.0037399373024787977,999999.1633010998,1.999998473690612e6,0.14708842778557193,0.0,8.366989001640235e-7,0.33286326382528864,0.6664316318290633,0.0007051041783909406,0.0,1.6725713706828432e-10
0.004397603609302721,999999.1290179696,1.9999984335740304e6,0.17553809204538687,0.0,8.709820303876015e-7,0.33278392593713624,0.666391962884949,0.0008241110106583787,0.0,1.6725643157793069e-10
0.005170920242896761,999999.0881024951,1.9999983861197059e6,0.2099147132249832,0.0,9.118975049515754e-7,0.33269188619194284,0.6663459430123791,0.000962170628422528,0.0,1.672555353764149e-10
0.006080224261649421,999999.0392073237,1.9999983299941963e6,0.2515795540895202,0.0,9.607926763077757e-7,0.3325853639013366,0.6662926818670903,0.0011219540643178428,0.0,1.6725528731095785e-10
0.007149428986597577,999998.9806406857,1.9999982635180547e6,0.30223667751592626,0.0,1.0193593142915347e-6,0.33246242341376203,0.6662312116232966,0.0013063647956864147,0.0,1.6725492735583658e-10
0.008406652885618326,999998.9103458846,1.999998184710239e6,0.36401846629497064,0.0,1.0896541153826433e-6,0.3323209984875608,0.6661604991601969,0.001518502184988898,0.0,1.6725337000783602e-10
0.009884959046625588,999998.8258162235,1.9999980912278297e6,0.4395953557709972,0.0,1.1741837765422147e-6,0.33215893563792137,0.6660794677353449,0.0017615964594811934,0.0,1.6725261453576223e-10
0.011623224686798517,999998.7239510795,1.999997980203792e6,0.5323016328714519,0.0,1.2760489204177716e-6,0.33197406265650664,0.6659870312446734,0.0020389059315689953,0.0,1.6725096394637484e-10
0.013667163564620074,999998.6009774135,1.999997848248369e6,0.6462935424157069,0.0,1.3990225865567751e-6,0.3317642893360811,0.6658821445844999,0.002353565912169461,0.0,1.672495952495523e-10
0.016070528182616384,999998.4523341386,1.9999976913811916e6,0.7867129030559107,0.0,1.5476658614677063e-6,0.3315277476762071,0.6657638737545928,0.0027083784019522545,0.0,1.6724788828165194e-10
