t (s),FA (mol/s/mol site),FB (mol/s/mol site),FC (mol/s/mol site),FP (mol/s/mol site),XA,θA,θB,θC,θP,θV
0.009884959046625588,99998.27501555563,199997.44438492224,0.6379651860904771,0.0,1.7249844443817386e-5,0.3029692102833597,0.6546431502604495,0.03474230778350736,0.007645331475622201,1.9706127528384965e-10
0.011623224686798517,99998.22156614241,199997.4687590506,0.7313426101494566,0.0,1.778433857596573e-5,0.29846796175261553,0.6527886653049524,0.039826843030934866,0.008916529715225989,1.9627117292531082e-10
0.013667163564620074,99998.16227842704,199997.49587864656,0.834888980762306,0.0,1.837721572958695e-5,0.293454097493901,0.6506942282999825,0.045465087933380596,0.01038658607735116,1.9538471882074582e-10
0.016070528182616384,99998.09723410192,199997.52585179234,0.9485302175273995,0.0,1.9027658980791395e-5,0.2879208082342408,0.6483432378103972,0.05165300800804072,0.012082945752925353,1.9439594899084423e-10
0.018896523396912116,99998.02675546742,199997.55863696733,1.071738383274292,0.0,1.9732445325909564e-5,0.28188002172859045,0.6457221649560099,0.0583618544845246,0.014035958637572992,1.9330214859336614e-10
0.02221946860939524,99997.9515183337,199997.5940740757,1.2033920257366317,0.0,2.048481666294677e-5,0.27536835366905327,0.6428219651918742,0.06553056051811529,0.016279120428853995,1.9210332630192894e-10
0.026126752255633268,99997.872680055,199997.63203136416,1.3417004887740334,0.0,2.1273199449917124e-5,0.2684503524501132,0.6396384419111881,0.07306162187059904,0.018849583577300343,1.9079931384835547e-10
0.03072112998861759,99997.79179719518,199997.67200997274,1.48404951292678,0.0,2.208202804818149e-5,0.2612253058318577,0.636173574882183,0.08081268496992025,0.02178843412663967,1.8939946486162818e-10
0.0361234269970943,99997.71107018227,199997.71370067823,1.6270435096025537,0.0,2.28892981773976e-5,0.25382490048713313,0.6324342431572525,0.08859885572522314,0.025142000442484307,1.8790692959957944e-10
0.04247571552536903,99997.63306439818,199997.75639068175,1.7665004451526045,0.0,2.3669356018218846e-5,0.2464136549693805,0.6284311753064539,0.09619241356275866,0.028962755975070576,1.8633638729226298e-10
0.049945051158551405,99997.56087316436,199997.79965986163,1.8977105323329326,0.0,2.439126835646066e-5,0.23917654008621184,0.6241747505986905,0.1033369054049668,0.03331180372543628,1.8469456519731864e-10
0.05872786613189477,99997.49767225086,199997.84278412347,2.0156639946452715,0.0,2.502327749148714e-5,0.23230906536549767,0.6196706162223965,0.10975954003563043,0.038260778193481296,1.8299410597943933e-10
0.06905513520162332,99997.4466364886,199997.88553278256,2.115725722696364,0.0,2.5533635114038944e-5,0.22598597627811534,0.6149099432240047,0.11520793168187887,0.043896148634767145,1.8123392370172908e-10
0.0811984499318401,99997.41049340084,199997.92757830583,2.193862684252285,0.0,2.589506599176561e-5,0.220350966852448,0.6098652778373168,0.11946247549234276,0.050321279638479086,1.794133036581158e-10
0.09547716114208066,99997.39117108421,199997.96911736295,2.2475731146529587,0.0,2.608828915798278e-5,0.21547409539428894,0.604477460927579,0.12238694801689981,0.05766149548371803,1.7751415615219202e-10
0.11226677735108136,99997.38961911929,199998.0107091174,2.2760039921509607,0.0,2.610380880715968e-5,0.21134548721072113,0.5986537828394227,0.12393490154262059,0.06606582823172906,1.7550652597897454e-10
0.13200884008314168,99997.40570946546,199998.05316760903,2.280013863266458,0.0,2.594290534549404e-5,0.20787228435821287,0.5922667948971563,0.12415308414090397,0.07570783643038,1.733469479070493e-10
0.15522253574270478,99997.4383544854,199998.09772055206,2.2620901372545608,0.0,2.5616455145982542e-5,0.20488155647338221,0.5851559334704083,0.12317693780593891,0.08678557207929155,1.7097900872897753e-10
0.18251834943190423,99997.4859766019,199998.14573939022,2.2254814124945317,0.0,2.514023398098031e-5,0.20215943362731859,0.5771399389286123,0.12118335179876483,0.09951727547696414,1.6834018901068504e-10
0.2146141197858406,99997.54700259925,199998.19851260164,2.1733510021376707,0.0,2.452997400745338e-5,0.19949052465618303,0.5680294813230211,0.1183445712143358,0.114135422641095,1.653650966160214e-10
0.2523539170434766,99997.62012486531,199998.2572269197,2.108404591026424,0.0,2.3798751346976177e-5,0.1966764611383245,0.5576349284457918,0.11480792348936454,0.1308806867645284,1.6199080965506596e-10
0.29673024081888666,99997.70462897344,199998.32282402145,2.032344525353885,0.0,2.295371026556081e-5,0.19356362166548535,0.5457780054926484,0.11066610377100146,0.14999226891270404,1.5816073450913848e-10
